,SMILES,Absorption solvent,Emission solvent,Absorption (nm),Emission (nm),DOI
6465,CN1C=C[N](=C1)[Ir+3]123([O-]C4=CC=CC=C4C4=CC(=CC(C5=[C-]1C(=CC=C5)C1=C([O-]2)C=CC=C1)=[N]34)C1=CC=C(C)C=C1)[N]1=CN(C)C=C1,C1CCCO1,,480.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6466,CN1C=C[N](=C1)[Ir+3]123([O-]C4=CC=CC=C4C4=CC(=CC(C5=[C-]1C(=CC=C5)C1=C([O-]2)C=CC=C1)=[N]34)C1=CC=C(C)C=C1)[N]1=CN(C)C=C1,CO,,480.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6467,CN1C=C[N](=C1)[Ir+3]123([O-]C4=CC=CC=C4C4=CC(=CC(C5=[C-]1C(=CC=C5)C1=C([O-]2)C=CC=C1)=[N]34)C1=CC=C(C)C=C1)[N]1=CN(C)C=C1,Cc1ccccc1,,366.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6468,CN1C=C[N](=C1)[Ir+3]123([O-]C4=CC=CC=C4C4=CC(=CC(C5=[C-]1C(=CC=C5)C1=C([O-]2)C=CC=C1)=[N]34)C1=CC=C(C)C=C1)[N]1=CN(C)C=C1,CC#N,,366.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6469,CN1C=C[N](=C1)[Ir+3]123([O-]C4=CC=CC=C4C4=CC(=CC(C5=[C-]1C(=CC=C5)C1=C([O-]2)C=CC=C1)=[N]34)C1=CC=C(C)C=C1)[N]1=CN(C)C=C1,ClCCl,,366.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6470,CC1=CC=C(C=C1)C1=CC2=[N]3C(=C1)C1=CC=CC=C1[O-][Ir+3]31([O-]C3=C(C=CC=C3)C3=CC=CC2=[C-]13)([N]1=CC=CC=C1)[N]1=CC=CC=C1,C1CCCO1,,366.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6471,CC1=CC=C(C=C1)C1=CC2=[N]3C(=C1)C1=CC=CC=C1[O-][Ir+3]31([O-]C3=C(C=CC=C3)C3=CC=CC2=[C-]13)([N]1=CC=CC=C1)[N]1=CC=CC=C1,CO,,366.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6472,CC1=CC=C(C=C1)C1=CC2=[N]3C(=C1)C1=CC=CC=C1[O-][Ir+3]31([O-]C3=C(C=CC=C3)C3=CC=CC2=[C-]13)([N]1=CC=CC=C1)[N]1=CC=CC=C1,Cc1ccccc1,,357.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6473,CC1=CC=C(C=C1)C1=CC2=[N]3C(=C1)C1=CC=CC=C1[O-][Ir+3]31([O-]C3=C(C=CC=C3)C3=CC=CC2=[C-]13)([N]1=CC=CC=C1)[N]1=CC=CC=C1,CC#N,,357.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6474,CC1=CC=C(C=C1)C1=CC2=[N]3C(=C1)C1=CC=CC=C1[O-][Ir+3]31([O-]C3=C(C=CC=C3)C3=CC=CC2=[C-]13)([N]1=CC=CC=C1)[N]1=CC=CC=C1,ClCCl,,357.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6475,CC1=CC=C(C=C1)C1=CC2=[N]3C(=C1)C1=CC=CC=C1[O-][Ir+3]31([O-]C3=C(C=CC=C3)C3=CC=CC2=[C-]13)([N]1=CC=C(C=C1)C(C)(C)C)[N]1=CC=C(C=C1)C(C)(C)C,ClCCl,,359.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6476,CC1=CC=C(C=C1)C1=CC2=[N]3C(=C1)C1=CC=CC=C1[O-][Ir+3]31([O-]C3=C(C=CC=C3)C3=CC=CC2=[C-]13)([N]1=CC=CC=N1)[N]1=CC=CC=N1,ClCCl,,349.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6477,CN1[C](N(C)C2=CC=CC=C12)[Ir+3]123([O-]C4=CC=CC=C4C4=CC=CC(C5=[N]1C(=CC(=C5)C1=CC=C(C)C=C1)C1=CC=CC=C1[O-]2)=[C-]34)[C]1N(C)C2=C(C=CC=C2)N1C,C1CCCO1,,349.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6478,CN1[C](N(C)C2=CC=CC=C12)[Ir+3]123([O-]C4=CC=CC=C4C4=CC=CC(C5=[N]1C(=CC(=C5)C1=CC=C(C)C=C1)C1=CC=CC=C1[O-]2)=[C-]34)[C]1N(C)C2=C(C=CC=C2)N1C,CO,,349.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6479,CN1[C](N(C)C2=CC=CC=C12)[Ir+3]123([O-]C4=CC=CC=C4C4=CC=CC(C5=[N]1C(=CC(=C5)C1=CC=C(C)C=C1)C1=CC=CC=C1[O-]2)=[C-]34)[C]1N(C)C2=C(C=CC=C2)N1C,Cc1ccccc1,,356.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6480,CN1[C](N(C)C2=CC=CC=C12)[Ir+3]123([O-]C4=CC=CC=C4C4=CC=CC(C5=[N]1C(=CC(=C5)C1=CC=C(C)C=C1)C1=CC=CC=C1[O-]2)=[C-]34)[C]1N(C)C2=C(C=CC=C2)N1C,CC#N,,356.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
